"%1 for ""%2"".","%1 pour ""%2""."
"Localized Exception.","Localized Exception."
"Max Emails Allowed to be Sent","Nombre maximal de destinataires"
"Message","Message"
"message","message"
"Message from %customer_name:","Message de la part de %customer_name:"
"Message length must not exceed %1 symbols","La longueur du message ne peut pas dépasser %1 caractères"
"Move to Wishlist","Ajouter à la liste d'envies"
"My Wish List","Ma liste d'envies"
"My Wish List Link","Lien vers ma liste d'envies"
"No Items Found","Aucun Article Trouvé"
"Options Details","Détails des Options"
"Out of stock","En rupture de stock"
"Page not found.","Page introuvable."
"Please enter an email address.","Veuillez renseigner une adresse email."
"Please enter a valid email address.","Saisissez un email valide."
"Please enter your comments.","Veuillez saisir votre commentaire."
"Please input a valid email address.","Saisissez un email valide."
"Product","produit"
"Product Details and Comment","Détails du Produit et Commentaire"
"Product Exception.","Exception Produit."
"Product is not salable.","Le produit ne peut être vendu."
"Product Name","Nom du produit"
"Qty","Qté"
"Quantity","Quantité"
"Remove item","Supprimer l'élément"
"Remove Item","Supprimer l'élément"
"Remove This Item","Supprimer cet Élément"
"* Required Fields","* Champs requis"
"RSS Feed","Flux RSS"
"RSS link to %1's wishlist","Lien vers le flux RSS de la liste d'enVies de %1"
"RSS link to %1's wishlist","Lien vers le flux RSS de la liste d'enVies de %1"
"See Details","Voir les Détails"
"Share Options","Options de Partage"
"Share Wishlist","Partager la liste d'envies"
"Share Wish List","Partager la liste d'envies"
"Sharing Information","Information de partage"
"Test Phrase","Test Phrase"
"The product does not exist.","Le produit n'existe pas."
"The requested cart item doesn't exist.","L'article n'existe pas."
"The requested Wish List doesn't exist.","La liste d'envies n'existe pas."
"The requested wish list doesn't exist.","La liste d'envies n'existe pas."
"This product(s) is out of stock.","Ces produits sont épuisés."
"This wish list can be shared %1 more times.","Cette liste d'envies peut être partagée %1 fois."
"This wishlist can be shared %1 more times.","Cette liste d'envies peut être partagée %1 fois."
"This Wish List has no Items","Cette liste d'envies est vide"
"Update Wish List","Mettre à jour la liste d'envies"
"User Description","Description utilisateur"
"View all Wish List items","Voir tous les articles de la liste d'envies"
"View Details","Voir les détails"
"View Product","Voir le Produit"
"We cannot retrieve the Wish List.","Impossible de récuperer la liste d'enVies."
"We can't add the item to the cart right now.","Impossible d'ajouter le produit au panier."
"We can't add the item to Wish List right now: %1.","Impossible d'ajouter l'article à la liste d'envies: %1."
"We can't add the item to Wish List right now.","Impossible d'ajouter l'article à la liste d'envies."
"We can't add this item to your shopping cart right now.","Impossible d'ajouter ce produit au panier."
"We can't configure the product right now.","Impossible de configurer le produit."
"We can't create the Wish List right now.","Impossible de créer la liste d'envies."
"We can't delete item from Wish List right now.","Impossible de supprimer cet article de la liste d'envies."
"We can't delete the item from the Wish List right now.","Impossible de supprimer le produit de la liste d'envies."
"We can't delete the item from Wish List right now because of an error: %1.","Impossible de supprimer cet article de la liste d'envies en raison de l'erreur suivante: %1."
"We can't load the Wish List item right now.","Impossible de charger le produit de la liste d'envies."
"We can't move the item to the wish list.","Impossible de déplacer ce produit dans la liste d'envies."
"We can't specify a product.","Impossible de spécifier le produit."
"We can't specify a wish list.","Impossible de spécifier une liste d'envies."
"We can't specify a wish list item.","Impossible de spécifier un Produit de la liste d'enVies."
"We can't update the Wish List right now.","Impossible de mettre à jour la liste d'enVies."
"We can't update wish list.","Impossible de mettre à jour la liste d'envies."
"We can't update your Wish List right now.","Impossible de mettre à jour votre liste d'envies."
"We couldn't add the following product(s) to the shopping cart: %1.","Impossible d'ajouter les produits suivants au panier: %1."
"What's this?","Qu'est-ce que c'est ?"
"Wish List","Liste d'enVies"
"Wishlist","Liste d'enVies"
"Wish List could not be created.","La liste d'envies n'a pas été crée."
"Wish List is empty now.","La Liste d'EnVies est vide."
"Wish List Sharing","Partage de Liste d'EnVies"
"You added %1 to your shopping cart.","Le produit %1 a été ajouté à votre panier."
"You have no items in your wish list.","Il n'y a aucun article dans votre liste d'envies."
"Your wish list has been shared.","Votre liste d'envies a bien été partagée."
